line_name,station_name,city,peak_time_avg,non_peak_avg,total_time_avg
4호선,동작,동작구,6738.7037037037035,2944.035493827161,3892.702546296297
4호선,명동,중구,119643.56944444444,55199.96604938271,71310.86689814816
4호선,미아,강북구,64713.902777777774,25644.288580246906,35411.69212962963
4호선,미아사거리,강북구,114482.32870370371,46419.91358024691,63435.51736111112
4호선,사당,동작구,107193.04629629629,43247.53703703703,59233.914351851854
4호선,삼각지,용산구,27539.791666666668,10939.773148148148,15089.777777777781
4호선,상계,노원구,81235.01388888889,31470.003086419758,43911.25578703705
4호선,서울,중구,74834.52777777778,25756.396604938273,38025.92939814815
4호선,성신여대입구,성북구,84687.27777777778,38362.5200617284,49943.70949074074
4호선,수유,강북구,147794.61111111112,58583.08950617284,80885.9699074074
4호선,숙대입구,용산구,61489.64351851851,24182.495370370376,33509.28240740741
4호선,신용산,용산구,89652.04166666667,29546.665123456783,44573.00925925927
4호선,쌍문,도봉구,123812.93518518517,46760.469135802465,66023.58564814816
4호선,이촌,용산구,37556.92592592593,17864.351851851847,22787.49537037037
4호선,창동,도봉구,109700.80555555556,47399.20679012346,62974.60648148147
4호선,총신대입구,동작구,85330.81481481482,34158.2962962963,46951.42592592593
4호선,충무로,중구,131232.86574074076,45180.79629629631,66693.81365740743
4호선,한성대입구,성북구,56377.79629629629,25182.629629629628,32981.4212962963
4호선,혜화,종로구,134742.34259259258,69871.96141975309,86089.55671296296
4호선,회현,중구,106708.17592592591,46816.26697530864,61789.24421296297
5호선,강동,강동구,82419.60648148147,28615.41820987654,42066.465277777774
5호선,강일,강동구,22999.337962962964,8125.086419753086,11843.649305555553
5호선,개롱,송파구,29448.69444444445,10781.410493827163,15448.23148148148
5호선,개화산,강서구,25960.245370370365,8987.226851851852,13230.48148148148
5호선,거여,송파구,45973.98148148148,15232.854938271608,22918.136574074073
5호선,고덕,강동구,40842.93981481481,17386.856481481474,23250.877314814814
5호선,공덕,마포구,72772.44444444445,19777.01851851852,33025.87500000001
5호선,광나루,광진구,57685.31944444444,22290.69135802469,31139.34837962964
5호선,광화문,종로구,165150.625,45497.73919753087,75410.96064814815
5호선,군자,광진구,55414.930555555555,19542.38580246914,28510.52199074074
5호선,굽은다리,강동구,41298.18518518519,16181.398148148146,22460.594907407405
5호선,길동,강동구,35093.75925925926,14346.637345679012,19533.417824074077
5호선,김포공항,강서구,32111.282407407405,16285.021604938274,20241.58680555556
5호선,까치산,강서구,127517.54629629629,44971.30092592593,65607.86226851851
5호선,답십리,성동구,72171.77777777778,23063.654320987655,35340.68518518519
5호선,동대문역사문화공원,중구,17506.06944444444,3878.9398148148152,7285.722222222222
5호선,둔촌동,강동구,38368.00462962963,14534.38425925926,20492.789351851858
5호선,마곡,강서구,53111.912037037044,16232.435185185184,25452.30439814815
5호선,마장,성동구,24816.425925925927,9462.516975308641,13300.994212962962
5호선,마천,송파구,33405.75000000001,11318.38734567901,16840.22800925926
5호선,마포,마포구,70417.12037037035,20939.92901234568,33309.226851851854
5호선,명일,강동구,38620.25462962963,15155.39197530864,21021.607638888887
5호선,목동,양천구,78819.76388888889,27008.209876543213,39961.09837962963
5호선,발산,강서구,100947.70370370371,33980.63580246914,50722.40277777778
5호선,방이,송파구,32665.06944444445,12278.746913580246,17375.327546296296
5호선,방화,강서구,28949.791666666668,11429.908950617284,15809.879629629628
5호선,상일동,강동구,65133.43981481481,22319.21759259259,33022.773148148146
5호선,서대문,종로구,101981.81018518518,24223.904320987655,43663.38078703704
5호선,송정,강서구,26838.54166666666,10925.955246913582,14904.101851851854
5호선,신금호,성동구,29884.72222222222,10465.399691358027,15320.230324074078
5호선,신길,영등포구,23318.361111111113,6582.0709876543215,10766.143518518518
5호선,신정,양천구,59262.55092592592,18764.103395061727,28888.71527777777
5호선,아차산,광진구,64847.175925925934,25629.625,35434.01273148148
5호선,애오개,마포구,32201.092592592595,9749.162037037036,15362.144675925927
5호선,양평,영등포구,38617.069444444445,9372.967592592593,16683.99305555556
5호선,여의나루,영등포구,67410.16666666667,24541.36882716049,35258.56828703704
5호선,여의도,영등포구,156233.05555555553,35350.30555555555,65570.99305555555
5호선,영등포구청,영등포구,21511.421296296296,5711.466049382718,9661.45486111111
5호선,영등포시장,영등포구,50496.962962962956,17855.407407407405,26015.796296296303
5호선,오금,송파구,17699.15740740741,5356.157407407406,8441.907407407407
5호선,오목교,양천구,99759.6574074074,36160.225308641966,52060.083333333336
5호선,올림픽공원,송파구,19027.189814814814,9168.125,11632.891203703703
5호선,왕십리,성동구,20737.541666666668,8626.086419753086,11653.950231481482
5호선,우장산,강서구,62989.73148148148,24305.044753086415,33976.21643518518
5호선,을지로4가,중구,30399.592592592595,9202.331790123457,14501.646990740739
5호선,장한평,동대문구,92085.24074074074,26841.91358024691,43152.74537037037
5호선,종로3가,종로구,54150.50462962963,28562.060185185182,34959.1712962963
5호선,천호,강동구,76610.55092592593,35019.118827160484,45416.976851851854
5호선,청구,중구,17236.925925925927,6002.859567901235,8811.37615740741
5호선,충정로,서대문구,24590.435185185186,5590.478395061728,10340.467592592593
5호선,행당,성동구,35288.50462962963,12118.805555555555,17911.230324074073
5호선,화곡,강서구,128645.6712962963,43274.87037037037,64617.570601851876
6호선,고려대,성북구,37777.773148148146,14222.483024691357,20111.30555555555
6호선,공덕,마포구,87863.01388888889,26918.20524691358,42154.407407407394
6호선,광흥창,마포구,41955.24999999999,13889.322530864198,20905.80439814815
6호선,구산,은평구,31215.564814814818,11450.762345679012,16391.962962962967
6호선,녹사평,용산구,22066.222222222223,9549.492283950616,12678.674768518518
6호선,대흥,마포구,39418.67592592592,15239.978395061726,21284.652777777777
6호선,독바위,은평구,12879.09722222222,4663.475308641977,6717.380787037036
6호선,돌곶이,성북구,43215.00925925926,15381.438271604935,22339.831018518522
6호선,동묘앞,종로구,31047.643518518515,16775.9274691358,20343.85648148148
6호선,디지털미디어시티,은평구,77796.16203703704,19632.575617283946,34173.47222222222
6호선,마포구청,마포구,62607.25,21883.5787037037,32064.49652777777
6호선,망원,마포구,63082.51388888888,28305.93209876543,37000.077546296314
